('1636738354374886000', 431, 195, 106, 254, 0.9427118624795519)
('1636738358265381600', 465, 246, 110, 212, 0.9417532211011992)
('1636738349343805500', 432, 192, 103, 257, 0.9415328669345515)
('1636738353062429600', 433, 197, 104, 250, 0.9412388708540163)
('1636738366381179000', 517, 268, 109, 182, 0.9411620277500502)
('1636738353937400600', 430, 198, 107, 250, 0.9408100963499106)
('1636738367256149300', 516, 255, 109, 201, 0.9407478569848606)
('1636738348250090200', 431, 192, 105, 258, 0.9407431039598535)
('1636738349125061600', 431, 191, 105, 259, 0.9405390180904976)
('1636738352624944200', 433, 197, 104, 249, 0.9401773014754057)
('1636738375630871000', 480, 253, 100, 223, 0.9395941984751341)
('1636738374974644500', 484, 260, 102, 215, 0.9394616932273828)
('1636738374537159700', 506, 267, 111, 205, 0.9393036469622067)
('1636738348906319600', 431, 191, 105, 258, 0.9388728238737988)
('1636738348468831000', 428, 192, 108, 258, 0.9388258916830479)
('1636738353281172600', 433, 198, 105, 248, 0.9388147310579987)
('1636738352843684900', 432, 198, 104, 248, 0.9386937962884674)
('1636738363608952200', 516, 257, 108, 202, 0.9385996507640525)
('1636738346500149900', 418, 204, 108, 248, 0.9383136920234637)
('1636738375849613000', 483, 254, 97, 219, 0.9382445646010936)
('1636738372505974100', 515, 259, 112, 213, 0.9377704709227208)
('1636738362733983000', 518, 256, 108, 203, 0.9358952768450854)
('1636738346718891000', 421, 202, 120, 245, 0.9358585855830943)
('1636738371849745900', 510, 256, 114, 207, 0.9358101536255669)
('1636738374318413000', 516, 269, 107, 202, 0.935676083739313)
('1636738372943461100', 515, 262, 110, 209, 0.9347705537409415)
('1636738373162204600', 515, 260, 111, 208, 0.9341831620757789)
('1636738355202983200', 427, 209, 97, 242, 0.9339490842683998)
('1636738366162437200', 513, 272, 112, 184, 0.9334587131457353)
('1636738352406199200', 433, 196, 103, 250, 0.9328943083352751)
('1636738375412127700', 481, 252, 100, 223, 0.9323746523909681)
('1636738370974777800', 513, 250, 111, 221, 0.9323735559979377)
