('1636738323268995700', 387, 261, 131, 188, 0.9445428425480292)
('1636738331190608400', 380, 253, 141, 214, 0.9443880672629825)
('1636738326378269500', 380, 262, 139, 193, 0.9443412116277126)
('1636738318675398500', 374, 262, 175, 186, 0.9436718872900505)
('1636738328565694200', 386, 253, 132, 201, 0.9431343601869985)
('1636738328346952300', 385, 260, 132, 191, 0.9427746602856101)
('1636738322831512300', 381, 260, 135, 194, 0.9425515508554032)
('1636738317144202700', 393, 257, 126, 196, 0.9418217890800226)
('1636738327253236300', 382, 260, 135, 189, 0.941465682445845)
('1636738306503931300', 381, 268, 143, 193, 0.9412270798785167)
('1636738312769346500', 393, 268, 128, 205, 0.9405989778997234)
('1636738329659407100', 394, 260, 125, 189, 0.9401978872134973)
('1636738323706482700', 386, 261, 132, 186, 0.9398752575634947)
('1636738320644085800', 357, 271, 128, 185, 0.9389481592260804)
('1636738327909467400', 385, 255, 134, 195, 0.9388021416325786)
('1636738330096892100', 393, 271, 120, 174, 0.9386826717590177)
('1636738318237913400', 372, 264, 155, 200, 0.9386694690017123)
('1636738320425342800', 359, 270, 128, 184, 0.937612216759184)
('1636738327034497200', 381, 258, 137, 191, 0.9370430316325044)
('1636738326159525200', 384, 263, 136, 193, 0.9368431369141329)
('1636738326597011200', 382, 262, 137, 193, 0.9366675737933158)
('1636738324143967900', 386, 258, 131, 197, 0.9365952028844453)
('1636738319769112500', 367, 289, 131, 162, 0.9352838724026421)
('1636738311175652000', 377, 274, 148, 185, 0.9345463761242845)
('1636738311613134700', 378, 271, 149, 187, 0.934489867560024)
('1636738318456658600', 371, 263, 163, 187, 0.9338337958957129)
('1636738318019174400', 381, 256, 145, 203, 0.9323489953221329)
('1636738326815753800', 381, 260, 137, 190, 0.9321562142439912)
('1636738329878149700', 390, 262, 130, 187, 0.9316785153761091)
('1636738311394394500', 382, 272, 140, 189, 0.9297826231597945)
('1636738343000266400', 562, 228, 114, 206, 0.9296738309626891)
('1636738325940781600', 384, 268, 137, 190, 0.9294311201308778)
('1636738310956910500', 379, 272, 143, 188, 0.9282122101992969)
('1636738317581687700', 389, 260, 130, 195, 0.9263423123370609)
('1636738330971863200', 380, 252, 140, 214, 0.9261831280673006)
('1636738317362943300', 390, 260, 129, 194, 0.9258240052668446)
('1636738319987857200', 364, 279, 131, 174, 0.9254722716097513)
('1636738319550372100', 360, 294, 152, 158, 0.9252804867349783)
('1636738319331627800', 359, 293, 161, 153, 0.9234517004222895)
('1636738451440835900', 530, 90, 80, 166, 0.92329823564938)
('1636738321081570800', 359, 230, 150, 212, 0.9231561419220442)
('1636738342125298300', 472, 270, 111, 201, 0.9230244182166744)
('1636738320862825300', 357, 281, 134, 173, 0.9227885207507731)
('1636738311831880700', 386, 268, 142, 195, 0.9216986651781444)
('1636738330534381100', 377, 258, 142, 205, 0.9213506545503227)
('1636738330753121500', 381, 253, 142, 207, 0.921329393458984)
('1636738312050622500', 391, 268, 131, 201, 0.9203377977786386)
('1636738321737797500', 379, 261, 136, 201, 0.9194904358056293)
('1636738328128210300', 383, 252, 135, 197, 0.9152351490352224)
('1636738331846835400', 380, 260, 138, 207, 0.9144055340796531)
('1636738341906550600', 451, 267, 113, 204, 0.9139168537385799)
('1636738308097627100', 379, 265, 144, 192, 0.9134508300972658)
('1636738308535112900', 379, 264, 144, 193, 0.9122261925821298)
('1636738342781521400', 552, 234, 108, 198, 0.912112977846238)
('1636738314956775100', 380, 262, 151, 205, 0.9120235672261212)
('1636738342344036500', 483, 272, 121, 202, 0.9115768440525652)
('1636738343656494000', 636, 264, 68, 147, 0.911572600423275)
('1636738318894143900', 373, 272, 153, 175, 0.9106491371993906)
