('1636738336221689800', 379, 260, 138, 207, 0.7766877963960396)
('1636738330753121500', 381, 253, 142, 207, 0.7760833533619095)
('1636738336659173300', 380, 263, 135, 205, 0.7752126132392039)
('1636738323925223200', 387, 257, 130, 195, 0.7747167458713646)
('1636738336440431300', 378, 263, 138, 205, 0.7742491658015088)
('1636738340156611000', 344, 211, 161, 235, 0.7724267924308302)
('1636738325503297500', 400, 267, 122, 202, 0.7714770070208398)
('1636738327471982100', 378, 263, 140, 188, 0.7695317777436838)
('1636738465534116300', 607, 225, 94, 195, 0.7693885668673501)
('1636738323487740400', 386, 259, 131, 194, 0.7690031214185828)
('1636738342125298300', 472, 270, 111, 201, 0.7689695533324236)
('1636738336002946400', 380, 261, 138, 206, 0.7673108688507281)
('1636738342781521400', 552, 234, 108, 198, 0.7667560994900254)
('1636738327909467400', 385, 255, 134, 195, 0.765743354502537)
('1636738323050254400', 387, 260, 129, 195, 0.7657115372167639)
