('1636738327034497200', 343, 134, 95, 247, 0.8776657596438565)
('1636738314738033100', 338, 133, 78, 230, 0.8767775511048774)
('1636738323268995700', 343, 133, 99, 251, 0.8766017442886268)
('1636738328346952300', 343, 133, 94, 256, 0.8735303965658748)
('1636738316269232400', 340, 138, 101, 246, 0.8732167704651052)
('1636738344312722800', 270, 158, 95, 227, 0.8731101623502375)
('1636738344531463000', 266, 161, 90, 244, 0.8728887780738626)
('1636738343000266400', 332, 140, 83, 156, 0.872320246040161)
('1636738327253236300', 343, 132, 95, 247, 0.8704055820111636)
('1636738322831512300', 344, 133, 97, 249, 0.8692103692186822)
('1636738325722039800', 343, 132, 98, 258, 0.8681818812833392)
('1636738329878149700', 344, 134, 95, 244, 0.8657703294256218)
('1636738327690724100', 343, 133, 95, 247, 0.8657179695820182)
('1636738320206598700', 344, 133, 103, 259, 0.8653196446320276)
('1636738346718891000', 421, 202, 120, 245, 0.8634323511354215)
('1636738316706715900', 341, 134, 102, 247, 0.8621983143570884)
('1636738327471982100', 343, 132, 95, 250, 0.8612664438703086)
('1636738342344036500', 347, 134, 98, 268, 0.8607541494497266)
('1636738317581687700', 342, 137, 103, 242, 0.860642864051051)
('1636738328784436300', 344, 135, 93, 248, 0.8604830027280349)
('1636738341906550600', 346, 137, 127, 251, 0.858481013353878)
('1636738344093979500', 280, 147, 88, 160, 0.8583784071092664)
('1636738342781521400', 345, 144, 86, 247, 0.8570205278461067)
('1636738316487974300', 341, 134, 102, 236, 0.8563280457517695)
('1636738325237681700', 343, 134, 99, 252, 0.8562498875670307)
('1636738341687810800', 345, 137, 127, 260, 0.855018478434361)
('1636738317362943300', 343, 132, 97, 263, 0.8543143078844104)
('1636738335127976500', 347, 138, 88, 245, 0.8543005096813815)
('1636738320425342800', 344, 133, 100, 255, 0.8539195466578627)
('1636738320644085800', 343, 133, 99, 252, 0.8534458621961005)
('1636738325503297500', 343, 134, 99, 259, 0.852957313730469)
('1636738321737797500', 342, 133, 98, 260, 0.8527184244501315)
('1636738327909467400', 343, 134, 95, 248, 0.8525896662860538)
('1636738348250090200', 431, 192, 105, 258, 0.8525133958243275)
('1636738322612769600', 344, 133, 98, 245, 0.8522276388087197)
('1636738362515238700', 518, 256, 108, 203, 0.8503814639629611)
('1636738321081570800', 344, 133, 97, 252, 0.8502454818868469)
('1636738321519054800', 345, 134, 94, 251, 0.8498323345666975)
('1636738322394024000', 344, 132, 97, 246, 0.8495376633214815)
('1636738330096892100', 344, 134, 96, 242, 0.8488155572002065)
('1636738320862825300', 344, 131, 100, 257, 0.8476042557813639)
('1636738362733983000', 518, 256, 108, 203, 0.8461109906026832)
('1636738316925460600', 337, 132, 104, 263, 0.8455045900459662)
('1636738343656494000', 291, 144, 81, 183, 0.8454690016236489)
('1636738364421428500', 515, 271, 108, 182, 0.8440989107767913)
('1636738321300313800', 344, 133, 96, 249, 0.8433151620701437)
('1636738363171467500', 517, 258, 107, 201, 0.8418420597081615)
('1636738329003181200', 343, 133, 95, 250, 0.8406823934800959)
('1636738343875236600', 286, 147, 86, 178, 0.8405851445357764)
('1636738349125061600', 431, 191, 105, 259, 0.8401569583157368)
('1636738329221921600', 343, 135, 95, 249, 0.8388746382153698)
('1636738363827692200', 517, 260, 108, 199, 0.8379565084604135)
('1636738348468831000', 428, 192, 108, 258, 0.8369542572110724)
('1636738363608952200', 516, 257, 108, 202, 0.8368204269965615)
('1636738362952724700', 517, 257, 108, 202, 0.8367048285741857)
('1636738349343805500', 432, 192, 103, 257, 0.8366241819609036)
('1636738348687576800', 431, 191, 104, 259, 0.8363595328505343)
('1636738348906319600', 431, 191, 105, 258, 0.8352107123800788)
('1636738314956775100', 337, 130, 84, 243, 0.8348197181784778)
('1636738342562778500', 345, 136, 94, 263, 0.8335109890172755)
('1636738349562547100', 434, 191, 102, 258, 0.8334244588981643)
('1636738363390208800', 517, 258, 107, 200, 0.8333096276647728)
('1636738343437750800', 295, 136, 82, 160, 0.8331670379092897)
('1636738341250325000', 344, 135, 102, 260, 0.8330365037968605)
('1636738317144202700', 343, 136, 97, 255, 0.8324312996089763)
('1636738325018939300', 343, 132, 98, 247, 0.8324135998496706)
